RSL	Russian	Sources	Example_RSL	Example_Russian	Example_sources	Lemma	GrammarMeaning
(.)*о/	сказать;говорить	https://spreadthesign.ru/3916 https://signflow.ru/skazat					
(.)*о/	ответить;отвечать;ответ	ответ=https://spreadthesign.ru/6423 отвечать=https://spreadthesign.ru/1836 https://signflow.ru/otvetit ответ=https://signflow.ru/otvet отвечать=https://signflow.ru/otvechat					
(.)*о_9Й0*						(.)*о/	O:мне
(.)*о/Й/Й						(.)*о/	O:тебе
(.)."5/	не любить;недолюбливать						
(.)."5/Й/Й						(.)."5/	S:я;O:тебя
Й/Й".5З9Й0						(.)."5/	S:ты;O:меня
(.)."5/ЙЮЙ						(.)."5/	S:я;O:его (справа)
(.)."5/ЙБЙ						(.)."5/	S:я;O:его (слева)
Й/Й.Э5БЙБЙ						(.)."5/	S:ты;O:его (слева)
Й/Й5Э.ЮЙЮЙ						(.)."5/	S:ты;O:его (справа)
ЙБЙ5Э.ЮЙЮЙ						(.)."5/	S:он (слева);O:его (справа)
ЙЮЙ.Э5БЙБЙ						(.)."5/	S:он (справа);O:его (слева)
ЙЮЙ."5/Й/Й						(.)."5/	S:он (справа);O:тебя
ЙЮЙ".5З9Й0						(.)."5/	S:он (справа);O:меня
ЙБЙ5."З9Й0						(.)."5/	S:он (слева);O:меня
ЙБЙ5"./Й/Й						(.)."5/	S:он (слева);O:тебя
".1	1;один	https://signflow.ru/bukva-49
".2	2;два	https://signflow.ru/bukva-50
".3	3;три	https://signflow.ru/bukva-51
".8	3;три	
".4	4;четыре	https://signflow.ru/bukva-52
".5	5;пять	https://signflow.ru/bukva-53
95.0*6	6;шесть	https://signflow.ru/bukva-54
95.0".*".2	7;семь	https://signflow.ru/bukva-55
95.0".*=Ё7	7;семь	
95.0".*".3	7;восемь	
95.0".*".8	8;восемь	https://signflow.ru/bukva-56
95.0".*".4	9;девять	https://signflow.ru/bukva-57
еЭ.**.Эе	10;десять	https://signflow.ru/10
".аЬ1	11;одиннадцать	https://signflow.ru/11
".аЬ2	12;двенадцать	https://signflow.ru/12
".аЬ3	13;тринадцать
".аЬ8	13;тринадцать	https://signflow.ru/13
".аЬ4	14;четырнадцать	https://signflow.ru/14
".аЬ5	15;пятрнадцать	https://signflow.ru/15
9Ё50".*-.6_95.0*%Ё	16;шестнадцать	https://signflow.ru/16
9Ё50".*".а_95.0*2	17;семнадцать
9Ё50".*=Ёа_95.0*7	17;семнадцать	https://signflow.ru/17
9Ё50".*".а_95.0*3	18;восемнадцать	
9Ё50".*".а_95.0*8	18;восемнадцать	https://signflow.ru/18
9Ё50".*".а_95.0*4	19;девятнадцать	https://signflow.ru/19
=.2__	20;двадцать	https://signflow.ru/20
=.3__	30;тридцать
=.8__	30;тридцать	https://signflow.ru/30
=.4__	40;сорок	https://signflow.ru/40
=.5__	50;пятьдесят	https://signflow.ru/50
95.0".ЦЦ=Ё6ББ	60;шестьдесят	https://signflow.ru/60
95.0".ЦЦ".2ББ	70;семьдесят
95.0".ЦЦ=Ё7ББ	70;семьдесят
95.0".ЦЦ".3ББ	80;восемьдесят
95.0".ЦЦ".8ББ	80;восемьдесят	https://signflow.ru/80
95.0".ЦЦ".4ББ	90;девяносто	https://signflow.ru/90
1?х	100;сто	https://signflow.ru/100
2??Л	200;двести	https://signflow.ru/200
