HS	а	б	в	г	д	е	ё	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я	1	2	3	4	5	6	7	8	А	В	Г	Е	И	К	Л	М	Н	О	П	Р	С	Т	У	Ф	Ч	Ш	Ы
а	0	3	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
б	3	0	3	3	2	3	3	3	2	3	3	2	1	2	3	3	2	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	1	2	1	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
в	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	2	3	3	3	2	2	3	3	3	3	3	3	3	3	3	2	1	3	3	3	3	1	3	3	2	3	3	3	3	3	3	3	1	1	3	2	3	2	3
г	3	3	3	0	2	3	3	3	1	3	3	2	2	3	3	3	2	3	3	3	3	3	3	2	3	3	3	0	2	0	2	3	3	1	2	3	3	3	3	0	1	3	3	1	3	3	2	3	2	3	1	1	3	3	3	3	3	3	3	3
д	3	2	3	2	0	3	3	3	1	3	3	0	1	2	3	3	0	3	3	1	3	3	3	0	3	1	1	2	3	2	3	3	1	1	1	2	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3
е	2	3	3	3	3	0	0	1	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3
ё	2	3	3	3	3	0	0	1	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	2	3	3	2	3	3	3
ж	2	3	3	3	3	1	1	0	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	1	3
з	3	2	3	1	1	3	3	3	0	3	3	1	1	3	3	3	1	3	3	3	3	3	3	1	3	3	3	1	1	1	3	3	2	0	1	3	3	3	3	1	2	3	3	2	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	2
и	3	3	3	3	3	3	3	3	3	0	0	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3
