	(Ё)	(ЁЁ)	(ЁЁЁ)	(Й)	(ЙЁ)	(Й.)	(.)	(Й..)	(ЙЁЁ)	(...)	(..)	9ЁЁЁ0	9Й0	9ЁЁ0	9Ё0	ЙЁ	ЙЙЁ	9ЙЁ0	9Й.Й0	9Й.0	9ЙЙ0	9ЙЙЁ0	9ЙЙ.0	9...0	9..0	9.0	9.h0	9..h0	9h..0	9ЁЁh0	9hЁЁ0	9hЁ0	9Ёh0	9h.0
(Ё)	0	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(ЁЁ)	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(ЁЁЁ)	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(Й)	1	2	2	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(ЙЁ)	2	2	2	1	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(Й.)	2	2	2	1	1	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(.)	2	2	2	1	2	2	0	2	2	1	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(Й..)	2	2	2	2	2	1	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(ЙЁЁ)	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(...)	2	2	2	2	2	2	1	1	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
(..)	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9ЁЁЁ0	2	2	2	2	2	2	1	2	2	2	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9Й0	2	2	2	2	2	2	1	2	2	2	2	1	0	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9ЁЁ0	2	2	2	2	2	2	2	2	2	2	2	1	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9Ё0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ЙЁ	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
ЙЙЁ	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9ЙЁ0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9Й.Й0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9Й.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9ЙЙ0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	2	2	2	2	2	2	2	2	2	2
9ЙЙЁ0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2
9ЙЙ.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	1	2	2	2	2	2	2	2	2	2	2
9...0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	1	2	2	2	2	2	2	2	2	2
9..0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	1	2	2	2	2	2	2	2	2
9.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2
9.h0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1	1	1	2	2	2	2
9..h0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2
9h..0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	1	1	2	2
9ЁЁh0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	0	2
9hЁЁ0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2
9hЁ0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2
9Ёh0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	1
9h.0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0
